Time	BME680 Temperature (Â°C)	BME680 Pressure (hPa)	BME680 Humidity (%)	BME680 Gas Resistance (ohms)	Gas Baseline (ohms)	TSL2591 Lux	CO2 (ppm)	PM10 (ug/m3)	PM1.0 (ug/m3)	PM2.5 (ug/m3)	VOC Index (open)	IAQ Index	GPS Has Fix	GPS Lat	GPS Lon	GPS Alt (m)	GPS Speed (knots)	GPS Satellites	GPS HDOP	GPS UTC
3/25/2026 16:18	22.13997813	975.2759275	33.14499626	669946	1555138.787	4.517376	619.618	0	0	0	36.5729355	20.38065365	FALSE							None
3/25/2026 16:19	22.11956406	975.2574264	33.16799085	669312	1555138.787	4.190976	642.578	2	0	0	36.6140542	20.41605403	FALSE							None
3/25/2026 17:23	22.62184141	974.6086747	32.20061886	606169	1555138.787	27.704832	639.954	4	2	2	40.91754311	20.30890697	FALSE							None
3/25/2026 17:24	22.6183375	974.6011482	32.59297538	612472	1555138.787	27.378432	613.714	1	1	1	40.46829143	20.27779787	FALSE							None
3/25/2026 17:25	22.61940391	974.6051341	32.57848083	622725	1555138.787	27.868032	629.458	0	0	0	39.74728521	20.32039383	FALSE							None
3/25/2026 17:26	22.62062266	974.5975804	32.5397316	632760	1555138.787	27.48288	576.322	2	2	2	39.05301361	20.24882687	FALSE							None
3/25/2026 17:27	22.61635703	974.5850273	32.55401341	640211	1555138.787	27.64608	588.13	2	2	2	38.54460216	20.28128322	FALSE							None
3/25/2026 17:28	22.61011094	974.5766965	32.56331409	646063	1555138.787	27.704832	590.098	3	2	3	38.14942837	20.29408702	FALSE							None
3/25/2026 17:29	22.60295078	974.5714879	32.55799497	655652	1555138.787	27.704832	624.21	2	1	2	37.50957631	20.36560771	FALSE							None
3/25/2026 17:30	22.59731406	974.5661611	32.51880961	661791	1555138.787	27.541632	634.05	1	1	1	37.10482968	20.39094109	FALSE							None
3/25/2026 17:31	22.59304844	974.5722552	32.48942777	669312	1555138.787	27.868032	599.282	1	1	1	36.6140542	20.34629809	FALSE							None
3/25/2026 17:32	22.57994688	974.5644544	32.46918075	677005	1555138.787	27.541632	586.162	2	2	2	36.11772773	20.3360475	FALSE							None
3/25/2026 17:33	22.55953281	974.5748465	32.4921069	677005	1555138.787	27.926784	608.466	2	2	2	36.11772773	20.37339233	FALSE							None
3/25/2026 17:34	22.54338438	974.5706681	32.5153116	688882	1555138.787	28.089984	601.906	2	2	2	35.36243164	20.38063957	FALSE							None
3/25/2026 17:35	22.52495078	974.5598841	32.48016947	690228	1555138.787	23.970816	609.778	2	2	2	35.27765804	20.3956633	FALSE							None
3/25/2026 17:38	22.45654844	974.4637874	32.01131196	704679	1555138.787	24.192768	575.01	4	2	2	34.37778241	20.358505	FALSE							None
3/25/2026 17:39	22.43689609	974.4639369	32.54235831	708920	1555138.787	24.192768	560.578	2	2	2	34.11719247	20.33932628	FALSE							None
3/25/2026 17:40	22.41724375	974.4606944	32.58474096	716103	1555138.787	24.192768	583.538	1	1	1	33.67936603	20.38995204	FALSE							None
3/25/2026 17:41	22.40307578	974.4455083	32.62263855	713933	1555138.787	24.74112	581.57	4	3	4	33.81116967	20.38341752	FALSE							None
3/25/2026 17:42	22.39165	974.4396018	32.66072452	722692	1555138.787	23.76192	609.122	2	1	2	33.28159062	20.44238652	FALSE							None
3/25/2026 17:43	22.38098594	974.4370254	32.65517436	725660	1555138.787	23.539968	594.69	3	2	3	33.1035969	20.4226706	FALSE							None
3/25/2026 17:44	22.377025	974.4319048	32.66947929	724916	1555138.787	23.481216	577.634	2	2	2	33.14814681	20.39250396	FALSE							None
3/25/2026 17:45	22.38479453	974.4299574	32.65056865	760753	1555138.787	24.473472	594.034	3	2	3	31.05254798	20.47068313	FALSE							None
3/25/2026 17:46	22.38768906	974.4192309	32.6750305	726406	1555138.787	24.25152	609.122	4	3	3	33.05897307	20.44771752	FALSE							None
3/25/2026 17:47	22.38997422	974.4207512	32.66546982	759936	1555138.787	23.92512	586.162	5	2	3	31.09921349	20.45622528	FALSE							None
3/25/2026 17:48	22.38144297	974.4244516	32.68433307	767354	1555138.787	23.92512	592.066	3	2	3	30.67733921	20.47634977	FALSE							None
3/25/2026 17:49	22.37032188	974.4276707	32.7370266	765279	1555138.787	24.147072	607.154	1	1	1	30.79493574	20.49869805	FALSE							None
3/25/2026 17:50	22.36468516	974.4460603	32.74151484	764865	1555138.787	23.92512	582.882	4	2	2	30.81843653	20.45733758	FALSE							None
3/25/2026 17:51	22.35097422	974.4572683	32.77462315	770697	1555138.787	23.59872	588.786	5	5	5	30.4885485	20.47531539	FALSE							None
3/25/2026 17:52	22.338025	974.4667223	32.81264859	774918	1555138.787	23.703168	606.498	4	3	3	30.25134045	20.51063443	FALSE							None
3/25/2026 17:53	22.32233359	974.4685885	32.86022673	778328	1555138.787	23.703168	609.122	2	1	2	30.06064992	20.51951802	FALSE							None
3/25/2026 17:54	22.308775	974.4614816	32.88364456	783066	1555138.787	23.213568	586.162	3	2	3	29.79707857	20.48740735	FALSE							None
3/25/2026 17:55	22.27769688	974.4421427	32.96914839	784368	1555138.787	23.539968	571.074	3	3	3	29.72492861	20.46305772	FALSE							None
3/25/2026 17:56	22.24341953	974.419313	33.02527681	781336	1555138.787	23.376768	586.162	2	2	2	29.89313186	20.48510718	FALSE							None
3/25/2026 17:57	22.22483359	974.4064804	33.0483823	786986	1555138.787	24.08832	606.498	4	2	2	29.58021469	20.5267058	FALSE							None
3/25/2026 17:59	22.30298594	974.3236723	32.27218949	799435	1555138.787	23.703168	620.274	2	2	2	28.89859953	20.56548824	FALSE							None
3/25/2026 18:00	22.28165781	974.3202054	33.00347814	792717	1555138.787	23.213568	651.762	2	2	2	29.26509816	20.60622989	FALSE							None
3/25/2026 18:01	22.25362656	974.3141925	33.05029768	796286	1555138.787	23.481216	584.194	2	1	2	29.07000733	20.50145536	FALSE							None
3/25/2026 18:02	22.22407188	974.2981258	33.0921568	796734	1555138.787	23.539968	575.666	3	2	3	29.04558027	20.48733483	FALSE							None
3/25/2026 18:03	22.20944688	974.276867	33.05709602	799435	1555138.787	24.25152	599.938	3	2	3	28.89859953	20.53215324	FALSE							None
3/25/2026 18:04	22.19573594	974.2745102	33.03671167	801246	1555138.787	23.92512	597.314	2	2	2	28.8003279	20.53012317	FALSE							None
3/25/2026 18:05	22.18766172	974.2520809	33.0459106	809034	1555138.787	23.76192	588.13	2	2	2	28.38023801	20.52468808	FALSE							None
3/25/2026 18:06	22.18491953	974.2343327	33.02139149	802609	1555138.787	23.703168	578.29	4	2	3	28.72651281	20.49952334	FALSE							None
3/25/2026 18:07	22.1795875	974.221183	33.00157212	801700	1555138.787	23.703168	596.002	1	1	1	28.77572699	20.52851336	FALSE							None
3/25/2026 18:08	22.17120859	974.2048748	33.03021495	801246	1555138.787	23.703168	620.274	5	2	3	28.8003279	20.56784154	FALSE							None
3/25/2026 18:09	22.15612656	974.2063454	33.02434675	802154	1555138.787	23.526912	624.21	1	1	1	28.75114	20.57534497	FALSE							None
3/25/2026 18:10	22.15551719	974.2084235	33.61466088	808110	1555138.787	25.06752	621.586	3	1	2	28.42986725	20.57882588	FALSE							None
